round,client_id,local_step,eta_returned,loss_prev_batch,loss_curr_batch,f_ref_prev,f_ref_curr,grad_sq_norm,line_search_failed,seed
0,65,0,0.002781283894436939,2.303325653076172,2.0940535068511963,2.4484071044921873,2.1653599853515626,732.5366821289062,False,0
0,65,1,0.0013302794647291152,2.2690236568450928,2.1065726280212402,2.1653599853515626,2.197982971191406,1211.18408203125,False,0
0,65,2,0.0011972515182562037,2.227827310562134,1.9266597032546997,2.197982971191406,2.0761591796875,1753.55810546875,False,0
0,65,3,0.0020275559590445286,2.1485724449157715,1.9285588264465332,2.0761591796875,2.115719055175781,724.31591796875,False,0
0,65,4,0.0016423203268260682,2.1746938228607178,1.831700325012207,2.115719055175781,2.2258875732421877,1341.6834716796875,False,0
0,65,5,0.0022528399544939205,2.2177813053131104,2.0081627368927,2.2258875732421877,2.14809814453125,867.9635620117188,False,0
0,65,6,0.0030903154382632653,2.2327070236206055,2.0362489223480225,2.14809814453125,2.10544384765625,429.9382019042969,False,0
0,65,7,0.0030903154382632653,2.271324872970581,1.9946038722991943,2.10544384765625,1.9615938720703125,652.1057739257812,False,0
0,65,8,0.002781283894436939,1.7774020433425903,1.7066636085510254,1.9615938720703125,1.9320146484375,241.6973114013672,False,0
0,65,9,0.003433683820292517,1.8909192085266113,1.7940468788146973,1.9320146484375,1.7918111572265625,199.083740234375,False,0
0,65,10,0.00471012869724625,1.7783504724502563,1.7014343738555908,1.7918111572265625,1.8910618286132812,155.24449157714844,False,0
0,65,11,0.003433683820292517,1.9242628812789917,1.8191276788711548,1.8910618286132812,1.9691410522460937,278.8567199707031,False,0
0,65,12,0.002503155504993245,1.9166526794433594,1.7659868001937866,1.9691410522460937,1.955977783203125,526.8514404296875,False,0
0,65,13,0.002503155504993245,2.2138800621032715,1.926847219467163,1.955977783203125,2.2898409423828125,829.8860473632812,False,0
0,65,14,0.004239115827521626,2.373593807220459,2.051470994949341,2.2898409423828125,2.0274932250976563,744.303466796875,False,0
0,65,15,0.0038152042447694634,2.3811066150665283,2.2409486770629883,2.0274932250976563,2.156951904296875,296.4270935058594,False,0
0,65,16,0.00471012869724625,2.066943407058716,1.8462095260620117,2.156951904296875,1.98591650390625,322.1417236328125,False,0
0,65,17,0.005233476330273611,1.9248602390289307,1.7549763917922974,1.98591650390625,1.8616842041015624,202.6397705078125,False,0
0,65,18,0.006461081889226681,1.8479478359222412,1.7332996129989624,1.8616842041015624,2.00298388671875,174.1085662841797,False,0
0,65,19,0.002781283894436939,1.8475637435913086,1.751244306564331,2.00298388671875,1.8730184936523437,225.0530242919922,False,0
0,24,0,0.0011972515182562037,1.758863091468811,1.6071096658706665,1.6794901733398437,1.4995873413085938,836.169189453125,False,0
0,24,1,0.0014780882941434613,1.5553679466247559,1.4917019605636597,1.4995873413085938,1.428861083984375,322.1582336425781,False,0
